iter	Passed	Remaining
0	56	5638
1	57	2795
2	57	1849
3	57	1376
4	57	1092
5	57	903
6	57	769
7	58	667
8	58	588
9	58	525
10	58	473
11	58	430
12	58	394
13	59	362
14	59	335
15	59	311
16	59	290
17	59	271
18	59	254
19	59	239
20	59	225
21	60	213
22	60	201
23	60	191
24	60	181
25	60	172
26	60	164
27	60	156
28	61	149
29	61	142
30	61	136
31	61	130
32	61	125
33	61	119
34	61	114
35	62	110
36	62	105
37	62	101
38	62	97
39	62	94
40	62	90
41	62	86
42	63	83
43	63	80
44	63	77
45	63	74
46	63	71
47	63	69
48	63	66
49	64	64
50	64	61
51	64	59
52	64	57
53	64	55
54	64	52
55	64	50
56	64	49
57	65	47
58	65	45
59	65	43
60	65	41
61	65	40
62	65	38
63	66	37
64	66	35
65	66	34
66	66	32
67	66	31
68	66	30
69	67	28
70	67	27
71	67	26
72	67	24
73	67	23
74	67	22
75	67	21
76	67	20
77	68	19
78	68	18
79	68	17
80	68	16
81	68	15
82	68	14
83	68	13
84	69	12
85	69	11
86	69	10
87	69	9
88	69	8
89	69	7
90	69	6
91	69	6
92	70	5
93	70	4
94	70	3
95	70	2
96	70	2
97	70	1
98	71	0
99	71	0
